template_id,match_index,match_time,correlation,station,network,channel
motif3_a,374496,2024-09-23T00:24:57.984091Z,0.920050471673,,,
motif3_a,374497,2024-09-23T00:24:57.988091Z,0.908197648717,,,
motif3_a,379898,2024-09-23T00:25:19.592093Z,0.937774470508,,,
motif3_a,379899,2024-09-23T00:25:19.596093Z,0.920204744202,,,
motif3_a,384006,2024-09-23T00:25:36.024094Z,0.915706873406,,,
motif3_a,384007,2024-09-23T00:25:36.028094Z,0.9354061235,,,
motif3_a,963200,2024-09-23T01:04:12.800235Z,0.91111518892,,,
motif3_a,963201,2024-09-23T01:04:12.804235Z,0.931408256731,,,
motif3_a,1215432,2024-09-23T01:21:01.728297Z,0.938881242957,,,
motif3_a,1215433,2024-09-23T01:21:01.732297Z,0.949278109552,,,
motif3_a,1792583,2024-09-23T01:59:30.332438Z,0.917760493896,,,
motif3_a,1792584,2024-09-23T01:59:30.336438Z,0.96204158053,,,
motif3_b,98635,2024-09-23T00:06:34.540024Z,0.928370146679,,,
motif3_b,98636,2024-09-23T00:06:34.544024Z,0.903852363864,,,
motif3_b,163987,2024-09-23T00:10:55.948040Z,0.916898250945,,,
motif3_b,374497,2024-09-23T00:24:57.988091Z,0.904283742863,,,
motif3_b,379898,2024-09-23T00:25:19.592093Z,0.944047229784,,,
motif3_b,379899,2024-09-23T00:25:19.596093Z,0.923648094118,,,
motif3_b,384007,2024-09-23T00:25:36.028094Z,0.930395511448,,,
motif3_b,963200,2024-09-23T01:04:12.800235Z,0.907863561968,,,
motif3_b,963201,2024-09-23T01:04:12.804235Z,0.948505679995,,,
motif3_b,1215432,2024-09-23T01:21:01.728297Z,0.921746467261,,,
motif3_b,1215433,2024-09-23T01:21:01.732297Z,0.942203164838,,,
motif3_b,1320950,2024-09-23T01:28:03.800322Z,0.900503678781,,,
motif3_b,1320951,2024-09-23T01:28:03.804322Z,0.96204158053,,,
motif3_b,1320952,2024-09-23T01:28:03.808322Z,0.916807622278,,,
motif3_b,1394394,2024-09-23T01:32:57.576340Z,0.905824897072,,,
motif3_b,1394395,2024-09-23T01:32:57.580340Z,0.918919484833,,,
motif3_b,1709470,2024-09-23T01:53:57.880417Z,0.910403921636,,,
motif3_b,1709471,2024-09-23T01:53:57.884417Z,0.901914534382,,,
motif5_a,374497,2024-09-23T00:24:57.988091Z,0.910327814506,,,
motif5_a,374498,2024-09-23T00:24:57.992091Z,0.923459566895,,,
motif5_a,379899,2024-09-23T00:25:19.596093Z,0.931710527067,,,
motif5_a,379900,2024-09-23T00:25:19.600093Z,0.964547972115,,,
motif5_a,379901,2024-09-23T00:25:19.604093Z,0.903894073116,,,
motif5_a,384008,2024-09-23T00:25:36.032094Z,0.95921582939,,,
motif5_a,384009,2024-09-23T00:25:36.036094Z,0.908137047391,,,
motif5_a,387843,2024-09-23T00:25:51.372095Z,0.909454793308,,,
motif5_a,963202,2024-09-23T01:04:12.808235Z,0.910860638866,,,
motif5_a,1320952,2024-09-23T01:28:03.808322Z,0.948801249049,,,
motif5_a,1320953,2024-09-23T01:28:03.812322Z,0.939663058984,,,
motif5_a,1394396,2024-09-23T01:32:57.584340Z,0.90746549039,,,
motif5_a,1792585,2024-09-23T01:59:30.340438Z,0.937117531497,,,
motif5_b,384008,2024-09-23T00:25:36.032094Z,0.925927182886,,,
motif5_b,384009,2024-09-23T00:25:36.036094Z,0.900907201519,,,
motif5_b,1215433,2024-09-23T01:21:01.732297Z,0.903403229006,,,
motif5_b,1215434,2024-09-23T01:21:01.736297Z,0.964547972115,,,
motif5_b,1215435,2024-09-23T01:21:01.740297Z,0.921016270317,,,
motif5_b,1320952,2024-09-23T01:28:03.808322Z,0.921346364925,,,
motif5_b,1320953,2024-09-23T01:28:03.812322Z,0.933723977285,,,
motif5_b,1792585,2024-09-23T01:59:30.340438Z,0.908607449546,,,
