event_id,template_id,match_time,match_index,correlation,station,network,channel,image_path,image_norm_path,image_overlay_path,sac_path,template_path
motif3_a_match0,motif3_a,2024-09-23T01:59:30.336438Z,1792584,0.96204158053,,,,results/002Hours-250Hz-1.0s-GPU/detections/images/motif3_a_match0.png,results/002Hours-250Hz-1.0s-GPU/detections/images_normalized/motif3_a_match0_norm.png,results/002Hours-250Hz-1.0s-GPU/detections/images_norm_overlays/motif3_a_match0_overlay.png,results/002Hours-250Hz-1.0s-GPU/detections/traces/motif3_a_match0.sac,results/002Hours-250Hz-1.0s-GPU/templates/traces/motif3_a.sac
motif3_a_match1,motif3_a,2024-09-23T01:21:01.732297Z,1215433,0.949278109552,,,,results/002Hours-250Hz-1.0s-GPU/detections/images/motif3_a_match1.png,results/002Hours-250Hz-1.0s-GPU/detections/images_normalized/motif3_a_match1_norm.png,results/002Hours-250Hz-1.0s-GPU/detections/images_norm_overlays/motif3_a_match1_overlay.png,results/002Hours-250Hz-1.0s-GPU/detections/traces/motif3_a_match1.sac,results/002Hours-250Hz-1.0s-GPU/templates/traces/motif3_a.sac
motif3_a_match2,motif3_a,2024-09-23T00:25:19.592093Z,379898,0.937774470508,,,,results/002Hours-250Hz-1.0s-GPU/detections/images/motif3_a_match2.png,results/002Hours-250Hz-1.0s-GPU/detections/images_normalized/motif3_a_match2_norm.png,results/002Hours-250Hz-1.0s-GPU/detections/images_norm_overlays/motif3_a_match2_overlay.png,results/002Hours-250Hz-1.0s-GPU/detections/traces/motif3_a_match2.sac,results/002Hours-250Hz-1.0s-GPU/templates/traces/motif3_a.sac
motif3_a_match3,motif3_a,2024-09-23T00:25:36.028094Z,384007,0.9354061235,,,,results/002Hours-250Hz-1.0s-GPU/detections/images/motif3_a_match3.png,results/002Hours-250Hz-1.0s-GPU/detections/images_normalized/motif3_a_match3_norm.png,results/002Hours-250Hz-1.0s-GPU/detections/images_norm_overlays/motif3_a_match3_overlay.png,results/002Hours-250Hz-1.0s-GPU/detections/traces/motif3_a_match3.sac,results/002Hours-250Hz-1.0s-GPU/templates/traces/motif3_a.sac
motif3_a_match4,motif3_a,2024-09-23T01:04:12.804235Z,963201,0.931408256731,,,,results/002Hours-250Hz-1.0s-GPU/detections/images/motif3_a_match4.png,results/002Hours-250Hz-1.0s-GPU/detections/images_normalized/motif3_a_match4_norm.png,results/002Hours-250Hz-1.0s-GPU/detections/images_norm_overlays/motif3_a_match4_overlay.png,results/002Hours-250Hz-1.0s-GPU/detections/traces/motif3_a_match4.sac,results/002Hours-250Hz-1.0s-GPU/templates/traces/motif3_a.sac
motif3_a_match5,motif3_a,2024-09-23T00:24:57.984091Z,374496,0.920050471673,,,,results/002Hours-250Hz-1.0s-GPU/detections/images/motif3_a_match5.png,results/002Hours-250Hz-1.0s-GPU/detections/images_normalized/motif3_a_match5_norm.png,results/002Hours-250Hz-1.0s-GPU/detections/images_norm_overlays/motif3_a_match5_overlay.png,results/002Hours-250Hz-1.0s-GPU/detections/traces/motif3_a_match5.sac,results/002Hours-250Hz-1.0s-GPU/templates/traces/motif3_a.sac
motif3_b_match6,motif3_b,2024-09-23T01:28:03.804322Z,1320951,0.96204158053,,,,results/002Hours-250Hz-1.0s-GPU/detections/images/motif3_b_match6.png,results/002Hours-250Hz-1.0s-GPU/detections/images_normalized/motif3_b_match6_norm.png,results/002Hours-250Hz-1.0s-GPU/detections/images_norm_overlays/motif3_b_match6_overlay.png,results/002Hours-250Hz-1.0s-GPU/detections/traces/motif3_b_match6.sac,results/002Hours-250Hz-1.0s-GPU/templates/traces/motif3_b.sac
motif3_b_match7,motif3_b,2024-09-23T01:04:12.804235Z,963201,0.948505679995,,,,results/002Hours-250Hz-1.0s-GPU/detections/images/motif3_b_match7.png,results/002Hours-250Hz-1.0s-GPU/detections/images_normalized/motif3_b_match7_norm.png,results/002Hours-250Hz-1.0s-GPU/detections/images_norm_overlays/motif3_b_match7_overlay.png,results/002Hours-250Hz-1.0s-GPU/detections/traces/motif3_b_match7.sac,results/002Hours-250Hz-1.0s-GPU/templates/traces/motif3_b.sac
motif3_b_match8,motif3_b,2024-09-23T00:25:19.592093Z,379898,0.944047229784,,,,results/002Hours-250Hz-1.0s-GPU/detections/images/motif3_b_match8.png,results/002Hours-250Hz-1.0s-GPU/detections/images_normalized/motif3_b_match8_norm.png,results/002Hours-250Hz-1.0s-GPU/detections/images_norm_overlays/motif3_b_match8_overlay.png,results/002Hours-250Hz-1.0s-GPU/detections/traces/motif3_b_match8.sac,results/002Hours-250Hz-1.0s-GPU/templates/traces/motif3_b.sac
motif3_b_match9,motif3_b,2024-09-23T01:21:01.732297Z,1215433,0.942203164838,,,,results/002Hours-250Hz-1.0s-GPU/detections/images/motif3_b_match9.png,results/002Hours-250Hz-1.0s-GPU/detections/images_normalized/motif3_b_match9_norm.png,results/002Hours-250Hz-1.0s-GPU/detections/images_norm_overlays/motif3_b_match9_overlay.png,results/002Hours-250Hz-1.0s-GPU/detections/traces/motif3_b_match9.sac,results/002Hours-250Hz-1.0s-GPU/templates/traces/motif3_b.sac
motif3_b_match10,motif3_b,2024-09-23T00:25:36.028094Z,384007,0.930395511448,,,,results/002Hours-250Hz-1.0s-GPU/detections/images/motif3_b_match10.png,results/002Hours-250Hz-1.0s-GPU/detections/images_normalized/motif3_b_match10_norm.png,results/002Hours-250Hz-1.0s-GPU/detections/images_norm_overlays/motif3_b_match10_overlay.png,results/002Hours-250Hz-1.0s-GPU/detections/traces/motif3_b_match10.sac,results/002Hours-250Hz-1.0s-GPU/templates/traces/motif3_b.sac
motif3_b_match11,motif3_b,2024-09-23T00:06:34.540024Z,98635,0.928370146679,,,,results/002Hours-250Hz-1.0s-GPU/detections/images/motif3_b_match11.png,results/002Hours-250Hz-1.0s-GPU/detections/images_normalized/motif3_b_match11_norm.png,results/002Hours-250Hz-1.0s-GPU/detections/images_norm_overlays/motif3_b_match11_overlay.png,results/002Hours-250Hz-1.0s-GPU/detections/traces/motif3_b_match11.sac,results/002Hours-250Hz-1.0s-GPU/templates/traces/motif3_b.sac
motif3_b_match12,motif3_b,2024-09-23T01:32:57.580340Z,1394395,0.918919484833,,,,results/002Hours-250Hz-1.0s-GPU/detections/images/motif3_b_match12.png,results/002Hours-250Hz-1.0s-GPU/detections/images_normalized/motif3_b_match12_norm.png,results/002Hours-250Hz-1.0s-GPU/detections/images_norm_overlays/motif3_b_match12_overlay.png,results/002Hours-250Hz-1.0s-GPU/detections/traces/motif3_b_match12.sac,results/002Hours-250Hz-1.0s-GPU/templates/traces/motif3_b.sac
