event_id,template_id,match_time,match_index,correlation,station,network,channel,image_path,image_norm_path,image_overlay_path,sac_path,template_path
motif4_a_match0,motif4_a,2024-09-23T00:26:25.080097Z,396270,0.937969216366,,,,results/001Hours-250Hz-1.0s-GPU/detections/images/motif4_a_match0.png,results/001Hours-250Hz-1.0s-GPU/detections/images_normalized/motif4_a_match0_norm.png,results/001Hours-250Hz-1.0s-GPU/detections/images_norm_overlays/motif4_a_match0_overlay.png,results/001Hours-250Hz-1.0s-GPU/detections/traces/motif4_a_match0.sac,results/001Hours-250Hz-1.0s-GPU/templates/traces/motif4_a.sac
motif4_a_match1,motif4_a,2024-09-23T00:25:19.572093Z,379893,0.907333585197,,,,results/001Hours-250Hz-1.0s-GPU/detections/images/motif4_a_match1.png,results/001Hours-250Hz-1.0s-GPU/detections/images_normalized/motif4_a_match1_norm.png,results/001Hours-250Hz-1.0s-GPU/detections/images_norm_overlays/motif4_a_match1_overlay.png,results/001Hours-250Hz-1.0s-GPU/detections/traces/motif4_a_match1.sac,results/001Hours-250Hz-1.0s-GPU/templates/traces/motif4_a.sac
motif4_a_match2,motif4_a,2024-09-23T00:10:55.928040Z,163982,0.904923430048,,,,results/001Hours-250Hz-1.0s-GPU/detections/images/motif4_a_match2.png,results/001Hours-250Hz-1.0s-GPU/detections/images_normalized/motif4_a_match2_norm.png,results/001Hours-250Hz-1.0s-GPU/detections/images_norm_overlays/motif4_a_match2_overlay.png,results/001Hours-250Hz-1.0s-GPU/detections/traces/motif4_a_match2.sac,results/001Hours-250Hz-1.0s-GPU/templates/traces/motif4_a.sac
motif4_b_match3,motif4_b,2024-09-23T00:24:56.712091Z,374178,0.937969216366,,,,results/001Hours-250Hz-1.0s-GPU/detections/images/motif4_b_match3.png,results/001Hours-250Hz-1.0s-GPU/detections/images_normalized/motif4_b_match3_norm.png,results/001Hours-250Hz-1.0s-GPU/detections/images_norm_overlays/motif4_b_match3_overlay.png,results/001Hours-250Hz-1.0s-GPU/detections/traces/motif4_b_match3.sac,results/001Hours-250Hz-1.0s-GPU/templates/traces/motif4_b.sac
motif4_b_match4,motif4_b,2024-09-23T00:08:46.356032Z,131589,0.914884033375,,,,results/001Hours-250Hz-1.0s-GPU/detections/images/motif4_b_match4.png,results/001Hours-250Hz-1.0s-GPU/detections/images_normalized/motif4_b_match4_norm.png,results/001Hours-250Hz-1.0s-GPU/detections/images_norm_overlays/motif4_b_match4_overlay.png,results/001Hours-250Hz-1.0s-GPU/detections/traces/motif4_b_match4.sac,results/001Hours-250Hz-1.0s-GPU/templates/traces/motif4_b.sac
motif4_b_match5,motif4_b,2024-09-23T00:06:34.520024Z,98630,0.904063775629,,,,results/001Hours-250Hz-1.0s-GPU/detections/images/motif4_b_match5.png,results/001Hours-250Hz-1.0s-GPU/detections/images_normalized/motif4_b_match5_norm.png,results/001Hours-250Hz-1.0s-GPU/detections/images_norm_overlays/motif4_b_match5_overlay.png,results/001Hours-250Hz-1.0s-GPU/detections/traces/motif4_b_match5.sac,results/001Hours-250Hz-1.0s-GPU/templates/traces/motif4_b.sac
motif5_a_match6,motif5_a,2024-09-23T00:26:25.068097Z,396267,0.934834552369,,,,results/001Hours-250Hz-1.0s-GPU/detections/images/motif5_a_match6.png,results/001Hours-250Hz-1.0s-GPU/detections/images_normalized/motif5_a_match6_norm.png,results/001Hours-250Hz-1.0s-GPU/detections/images_norm_overlays/motif5_a_match6_overlay.png,results/001Hours-250Hz-1.0s-GPU/detections/traces/motif5_a_match6.sac,results/001Hours-250Hz-1.0s-GPU/templates/traces/motif5_a.sac
motif5_a_match7,motif5_a,2024-09-23T00:25:19.564093Z,379891,0.924865721358,,,,results/001Hours-250Hz-1.0s-GPU/detections/images/motif5_a_match7.png,results/001Hours-250Hz-1.0s-GPU/detections/images_normalized/motif5_a_match7_norm.png,results/001Hours-250Hz-1.0s-GPU/detections/images_norm_overlays/motif5_a_match7_overlay.png,results/001Hours-250Hz-1.0s-GPU/detections/traces/motif5_a_match7.sac,results/001Hours-250Hz-1.0s-GPU/templates/traces/motif5_a.sac
motif5_a_match8,motif5_a,2024-09-23T00:08:46.348032Z,131587,0.906606027766,,,,results/001Hours-250Hz-1.0s-GPU/detections/images/motif5_a_match8.png,results/001Hours-250Hz-1.0s-GPU/detections/images_normalized/motif5_a_match8_norm.png,results/001Hours-250Hz-1.0s-GPU/detections/images_norm_overlays/motif5_a_match8_overlay.png,results/001Hours-250Hz-1.0s-GPU/detections/traces/motif5_a_match8.sac,results/001Hours-250Hz-1.0s-GPU/templates/traces/motif5_a.sac
