template_id,start_time,end_time,station,network,channel,latitude,longitude,sampling_rate,start_index
motif1_a,2024-09-23T00:26:26.004097Z,2024-09-23T00:26:27.000097Z,,,,N/A,N/A,249.999984741,396501
motif1_b,2024-09-23T02:05:00.104458Z,2024-09-23T02:05:01.100458Z,,,,N/A,N/A,249.999984741,1875026
motif2_a,2024-09-23T00:26:25.952097Z,2024-09-23T00:26:26.948097Z,,,,N/A,N/A,249.999984741,396488
motif2_b,2024-09-23T02:05:00.052458Z,2024-09-23T02:05:01.048458Z,,,,N/A,N/A,249.999984741,1875013
motif3_a,2024-09-23T02:05:00.056458Z,2024-09-23T02:05:01.052458Z,,,,N/A,N/A,249.999984741,1875014
motif3_b,2024-09-23T00:26:25.956097Z,2024-09-23T00:26:26.952097Z,,,,N/A,N/A,249.999984741,396489
motif4_a,2024-09-23T02:05:00.108458Z,2024-09-23T02:05:01.104458Z,,,,N/A,N/A,249.999984741,1875027
motif4_b,2024-09-23T00:26:26.008097Z,2024-09-23T00:26:27.004097Z,,,,N/A,N/A,249.999984741,396502
motif5_a,2024-09-23T00:26:25.948097Z,2024-09-23T00:26:26.944097Z,,,,N/A,N/A,249.999984741,396487
motif5_b,2024-09-23T02:05:00.048458Z,2024-09-23T02:05:01.044458Z,,,,N/A,N/A,249.999984741,1875012
