template_id,start_time,end_time,station,network,channel,latitude,longitude,sampling_rate,start_index
motif1_a,2024-09-23T04:36:41.681013Z,2024-09-23T04:36:42.677013Z,,,,N/A,N/A,249.999984741,4150420
motif1_b,2024-09-23T03:14:29.824712Z,2024-09-23T03:14:30.820712Z,,,,N/A,N/A,249.999984741,2917456
motif2_a,2024-09-23T04:36:41.685013Z,2024-09-23T04:36:42.681013Z,,,,N/A,N/A,249.999984741,4150421
motif2_b,2024-09-23T03:14:29.828712Z,2024-09-23T03:14:30.824712Z,,,,N/A,N/A,249.999984741,2917457
motif3_a,2024-09-23T04:36:41.677013Z,2024-09-23T04:36:42.673013Z,,,,N/A,N/A,249.999984741,4150419
motif3_b,2024-09-23T03:14:29.820712Z,2024-09-23T03:14:30.816712Z,,,,N/A,N/A,249.999984741,2917455
motif4_a,2024-09-23T04:36:41.689013Z,2024-09-23T04:36:42.685013Z,,,,N/A,N/A,249.999984741,4150422
motif4_b,2024-09-23T03:14:29.832712Z,2024-09-23T03:14:30.828712Z,,,,N/A,N/A,249.999984741,2917458
motif5_a,2024-09-23T03:14:29.816712Z,2024-09-23T03:14:30.812712Z,,,,N/A,N/A,249.999984741,2917454
motif5_b,2024-09-23T04:36:41.673013Z,2024-09-23T04:36:42.669013Z,,,,N/A,N/A,249.999984741,4150418
