template_id,start_time,end_time,station,network,channel,latitude,longitude,sampling_rate,start_index
motif1_a,2024-09-23T00:25:52.328095Z,2024-09-23T00:25:57.324095Z,,,,N/A,N/A,249.999984741,388082
motif1_b,2024-09-23T00:08:47.268032Z,2024-09-23T00:08:52.264032Z,,,,N/A,N/A,249.999984741,131817
motif2_a,2024-09-23T00:08:47.280032Z,2024-09-23T00:08:52.276032Z,,,,N/A,N/A,249.999984741,131820
motif2_b,2024-09-23T00:25:52.340095Z,2024-09-23T00:25:57.336095Z,,,,N/A,N/A,249.999984741,388085
motif3_a,2024-09-23T00:08:47.264032Z,2024-09-23T00:08:52.260032Z,,,,N/A,N/A,249.999984741,131816
motif3_b,2024-09-23T00:25:52.324095Z,2024-09-23T00:25:57.320095Z,,,,N/A,N/A,249.999984741,388081
motif4_a,2024-09-23T00:08:47.272032Z,2024-09-23T00:08:52.268032Z,,,,N/A,N/A,249.999984741,131818
motif4_b,2024-09-23T00:25:52.332095Z,2024-09-23T00:25:57.328095Z,,,,N/A,N/A,249.999984741,388083
motif5_a,2024-09-23T00:08:47.276032Z,2024-09-23T00:08:52.272032Z,,,,N/A,N/A,249.999984741,131819
motif5_b,2024-09-23T00:25:52.336095Z,2024-09-23T00:25:57.332095Z,,,,N/A,N/A,249.999984741,388084
