template_id,start_time,end_time,station,network,channel,latitude,longitude,sampling_rate,start_index
motif1_a,2024-09-23T01:20:12.704294Z,2024-09-23T01:21:02.700297Z,,,,N/A,N/A,249.999984741,1203176
motif1_b,2024-09-23T00:24:07.704088Z,2024-09-23T00:24:57.700091Z,,,,N/A,N/A,249.999984741,361926
motif2_a,2024-09-23T01:20:12.708294Z,2024-09-23T01:21:02.704297Z,,,,N/A,N/A,249.999984741,1203177
motif2_b,2024-09-23T00:24:07.708088Z,2024-09-23T00:24:57.704091Z,,,,N/A,N/A,249.999984741,361927
motif3_a,2024-09-23T00:24:07.700088Z,2024-09-23T00:24:57.696091Z,,,,N/A,N/A,249.999984741,361925
motif3_b,2024-09-23T01:20:12.700294Z,2024-09-23T01:21:02.696297Z,,,,N/A,N/A,249.999984741,1203175
motif4_a,2024-09-23T01:20:12.712294Z,2024-09-23T01:21:02.708297Z,,,,N/A,N/A,249.999984741,1203178
motif4_b,2024-09-23T00:24:07.712088Z,2024-09-23T00:24:57.708091Z,,,,N/A,N/A,249.999984741,361928
motif5_a,2024-09-23T01:20:12.696294Z,2024-09-23T01:21:02.692297Z,,,,N/A,N/A,249.999984741,1203174
motif5_b,2024-09-23T00:24:07.696088Z,2024-09-23T00:24:57.692091Z,,,,N/A,N/A,249.999984741,361924
