template_id,start_time,end_time,station,network,channel,latitude,longitude,sampling_rate,start_index
motif1_a,2024-09-23T00:07:57.352029Z,2024-09-23T00:08:47.348032Z,,,,N/A,N/A,249.999984741,119338
motif1_b,2024-09-23T00:24:07.704088Z,2024-09-23T00:24:57.700091Z,,,,N/A,N/A,249.999984741,361926
motif2_a,2024-09-23T00:07:57.384029Z,2024-09-23T00:08:47.380032Z,,,,N/A,N/A,249.999984741,119346
motif2_b,2024-09-23T00:24:07.736088Z,2024-09-23T00:24:57.732091Z,,,,N/A,N/A,249.999984741,361934
motif3_a,2024-09-23T00:07:57.380029Z,2024-09-23T00:08:47.376032Z,,,,N/A,N/A,249.999984741,119345
motif3_b,2024-09-23T00:24:07.732088Z,2024-09-23T00:24:57.728091Z,,,,N/A,N/A,249.999984741,361933
motif4_a,2024-09-23T00:24:07.740088Z,2024-09-23T00:24:57.736091Z,,,,N/A,N/A,249.999984741,361935
motif4_b,2024-09-23T00:07:57.388029Z,2024-09-23T00:08:47.384032Z,,,,N/A,N/A,249.999984741,119347
motif5_a,2024-09-23T00:07:57.376029Z,2024-09-23T00:08:47.372032Z,,,,N/A,N/A,249.999984741,119344
motif5_b,2024-09-23T00:24:07.728088Z,2024-09-23T00:24:57.724091Z,,,,N/A,N/A,249.999984741,361932
