template_id,start_time,end_time,station,network,channel,latitude,longitude,sampling_rate,start_index
motif1_a,2024-09-23T00:24:56.704091Z,2024-09-23T00:24:57.700091Z,,,,N/A,N/A,249.999984741,374176
motif1_b,2024-09-23T00:26:25.072097Z,2024-09-23T00:26:26.068097Z,,,,N/A,N/A,249.999984741,396268
motif2_a,2024-09-23T00:26:25.076097Z,2024-09-23T00:26:26.072097Z,,,,N/A,N/A,249.999984741,396269
motif2_b,2024-09-23T00:24:56.708091Z,2024-09-23T00:24:57.704091Z,,,,N/A,N/A,249.999984741,374177
motif3_a,2024-09-23T00:24:56.700091Z,2024-09-23T00:24:57.696091Z,,,,N/A,N/A,249.999984741,374175
motif3_b,2024-09-23T00:26:25.068097Z,2024-09-23T00:26:26.064097Z,,,,N/A,N/A,249.999984741,396267
motif4_a,2024-09-23T00:24:56.712091Z,2024-09-23T00:24:57.708091Z,,,,N/A,N/A,249.999984741,374178
motif4_b,2024-09-23T00:26:25.080097Z,2024-09-23T00:26:26.076097Z,,,,N/A,N/A,249.999984741,396270
motif5_a,2024-09-23T00:06:34.512024Z,2024-09-23T00:06:35.508024Z,,,,N/A,N/A,249.999984741,98628
motif5_b,2024-09-23T00:26:25.068097Z,2024-09-23T00:26:26.064097Z,,,,N/A,N/A,249.999984741,396267
