template_id,start_time,end_time,station,network,channel,latitude,longitude,sampling_rate,start_index
motif1_a,2024-09-23T00:25:52.328095Z,2024-09-23T00:26:02.324095Z,,,,N/A,N/A,249.999984741,388082
motif1_b,2024-09-23T00:08:47.268032Z,2024-09-23T00:08:57.264033Z,,,,N/A,N/A,249.999984741,131817
motif2_a,2024-09-23T00:25:52.324095Z,2024-09-23T00:26:02.320095Z,,,,N/A,N/A,249.999984741,388081
motif2_b,2024-09-23T00:08:47.264032Z,2024-09-23T00:08:57.260033Z,,,,N/A,N/A,249.999984741,131816
motif3_a,2024-09-23T00:25:52.340095Z,2024-09-23T00:26:02.336095Z,,,,N/A,N/A,249.999984741,388085
motif3_b,2024-09-23T00:08:47.280032Z,2024-09-23T00:08:57.276033Z,,,,N/A,N/A,249.999984741,131820
motif4_a,2024-09-23T00:25:52.332095Z,2024-09-23T00:26:02.328095Z,,,,N/A,N/A,249.999984741,388083
motif4_b,2024-09-23T00:08:47.272032Z,2024-09-23T00:08:57.268033Z,,,,N/A,N/A,249.999984741,131818
motif5_a,2024-09-23T00:25:52.336095Z,2024-09-23T00:26:02.332095Z,,,,N/A,N/A,249.999984741,388084
motif5_b,2024-09-23T00:08:47.276032Z,2024-09-23T00:08:57.272033Z,,,,N/A,N/A,249.999984741,131819
